date,rainfall
1974-06-01,1.8591
1974-06-02,1.3109
1974-06-03,2.4422
1974-06-04,2.556
1974-06-05,2.6104
1974-06-06,1.362
1974-06-07,1.4283
1974-06-08,1.1395
1974-06-09,1.5742
1974-06-10,1.4923
1974-06-11,1.4234
1974-06-12,1.1904
1974-06-13,2.1852
1974-06-14,1.2909
1974-06-15,1.9604
1974-06-16,1.4601
1974-06-17,1.9536
1974-06-18,1.5614
1974-06-19,0.0562
1974-06-20,0.4549
1974-06-21,0.8753
1974-06-22,0.7112
1974-06-23,0.2018
1974-06-24,0.3198
1974-06-25,0.7178
1974-06-26,1.8621
1974-06-27,0.8605
1974-06-28,0.2594
1974-06-29,0.7948
1974-06-30,0.191
1974-07-01,0.5902
1974-07-02,0.3685
1974-07-03,0.9473
1974-07-04,0.5133
1974-07-05,0.3775
1974-07-06,1.522
1974-07-07,1.8001
1974-07-08,1.5093
1974-07-09,1.2748
1974-07-10,1.3399
1974-07-11,1.2551
1974-07-12,0.785
1974-07-13,2.1
1974-07-14,1.3956
1974-07-15,1.0776
1974-07-16,0.2765
1974-07-17,0.6693
1974-07-18,1.4483
1974-07-19,1.0317
1974-07-20,0.7079
1974-07-21,1.1506
1974-07-22,1.6144
1974-07-23,8.0517
1974-07-24,2.4908
1974-07-25,3.6539
1974-07-26,0.0766
1974-07-27,1.0086
1974-07-28,1.8648
1974-07-29,1.5922
1974-07-30,0.8074
1974-07-31,0.7712
1974-08-01,0.2342
1974-08-02,0.1097
1974-08-03,0.2904
1974-08-04,1.996
1974-08-05,1.4424
1974-08-06,1.0117
1974-08-07,0.1565
1974-08-08,0.271
1974-08-09,0.735
1974-08-10,1.5134
1974-08-11,2.0137
1974-08-12,1.7068
1974-08-13,0.6695
1974-08-14,2.4627
1974-08-15,1.6522
1974-08-16,2.1983
1974-08-17,4.2207
1974-08-18,2.1381
1974-08-19,2.9986
1974-08-20,1.1377
1974-08-21,1.0165
1974-08-22,0.6716
1974-08-23,0.0484
1974-08-24,0.0557
1974-08-25,0.0145
1974-08-26,0.0265
1974-08-27,0.0137
1974-08-28,0.0406
1974-08-29,0.0291
1974-08-30,0.0415
1974-08-31,0.2158
1974-09-01,0.0316
1974-09-02,0.1713
1974-09-03,0.1205
1974-09-04,1.127
1974-09-05,1.127
1974-09-06,0.6616
1974-09-07,1.0452
1974-09-08,1.4158
1974-09-09,1.4904
1974-09-10,0.3898
1974-09-11,1.2771
1974-09-12,0.3482
1974-09-13,1.8032
1974-09-14,2.772
1974-09-15,9.3672
1974-09-16,3.5161
1974-09-17,3.3831
1974-09-18,0.7571
1974-09-19,0.137
1974-09-20,0.5772
1974-09-21,5.0158
1974-09-22,2.0615
1974-09-23,0.3097
1974-09-24,0.6801
1974-09-25,2.2251
1974-09-26,1.509
1974-09-27,1.08
1974-09-28,0.8937
1974-09-29,1.0564
1974-09-30,2.818
1974-10-01,2.5354
1974-10-02,0.7333
1974-10-03,1.2879
1974-10-04,1.1629
1974-10-05,1.0671
1974-10-06,0.2037
1974-10-07,0.2778
1974-10-08,0.8723
1974-10-09,2.0823
1974-10-10,1.4645
1974-10-11,0.3482
1974-10-12,0.1456
1974-10-13,0.2562
1974-10-14,1.0869
1974-10-15,0.0085
1974-10-16,0.0016
1974-10-17,0.1691
1974-10-18,0.1266
1974-10-19,0.0061
1974-10-20,0.3387
1974-10-21,0.0015
1974-10-22,0
1974-10-23,0.1049
1974-10-24,0.4109
1974-10-25,1.3267
1974-10-26,0.3635
1974-10-27,0.1426
1974-10-28,2.7511
1974-10-29,1.0415
1974-10-30,4.4521
1974-10-31,2.2884
1974-11-01,0.4444
1974-11-02,0.4909
1974-11-03,0.2155
1974-11-04,0.1332
1974-11-05,0.7223
1974-11-06,0.8915
1974-11-07,3.3369
1974-11-08,13.7797
1974-11-09,7.0709
1974-11-10,2.0646
1974-11-11,5.6096
1974-11-12,4.9528
1974-11-13,5.7237
1974-11-14,2.0309
1974-11-15,3.2626
1974-11-16,21.4361
1974-11-17,1.5902
1974-11-18,0.2929
1974-11-19,0.0081
1974-11-20,0.0398
1974-11-21,0.4648
1974-11-22,0.2208
1974-11-23,5.0438
1974-11-24,1.9509
1974-11-25,2.3618
1974-11-26,1.5206
1974-11-27,1.6887
1974-11-28,0.281
1974-11-29,0.8729
1974-11-30,1.7585
1974-12-01,1.1211
1974-12-02,0.7941
1974-12-03,1.2994
1974-12-04,0.4221
1974-12-05,0.8364
1974-12-06,7.6187
1974-12-07,9.3519
1974-12-08,4.199
1974-12-09,2.9795
1974-12-10,6.7963
1974-12-11,6.9517
1974-12-12,4.2601
1974-12-13,0.6992
1974-12-14,0.5707
1974-12-15,0.4074
1974-12-16,0.1045
1974-12-17,4.9743
1974-12-18,2.7794
1974-12-19,0.7936
1974-12-20,0.696
1974-12-21,0.0306
1974-12-22,0.7063
1974-12-23,1.5158
1974-12-24,1.9355
1974-12-25,13.7382
1974-12-26,1.104
1974-12-27,1.6209
1974-12-28,11.2069
1974-12-29,5.7425
1974-12-30,7.4756
1974-12-31,1.9336
1975-01-01,5.1421
1975-01-02,3.8667
1975-01-03,7.6305
1975-01-04,9.6699
1975-01-05,1.8794
1975-01-06,0.0991
1975-01-07,0.0624
1975-01-08,0.1183
1975-01-09,0.0457
1975-01-10,0.1502
1975-01-11,0.0341
1975-01-12,0.4257
1975-01-13,0.151
1975-01-14,0.1783
1975-01-15,0.1013
1975-01-16,0.4744
1975-01-17,0.8565
1975-01-18,1.8428
1975-01-19,5.637
1975-01-20,1.3736
1975-01-21,0.9277
1975-01-22,0.9934
1975-01-23,0.7849
1975-01-24,1.9644
1975-01-25,4.3483
1975-01-26,2.7539
1975-01-27,0.042
1975-01-28,0.0112
1975-01-29,0.0484
1975-01-30,0.2456
1975-01-31,0.4719
1975-02-01,0.871
1975-02-02,2.0932
1975-02-03,5.1152
1975-02-04,5.123
1975-02-05,0.8114
1975-02-06,1.2585
1975-02-07,0.3999
1975-02-08,0.0692
1975-02-09,0.1429
1975-02-10,0.0242
1975-02-11,0.0025
1975-02-12,0.1337
1975-02-13,1.204
1975-02-14,0.4199
1975-02-15,1.0341
1975-02-16,0.7821
1975-02-17,0.5882
1975-02-18,0.0112
1975-02-19,0.1747
1975-02-20,0.0398
1975-02-21,0.4066
1975-02-22,6.8783
1975-02-23,2.1771
1975-02-24,0.9772
1975-02-25,0.3248
1975-02-26,0.7571
1975-02-27,6.2082
1975-02-28,9.8641
1975-03-01,13.8884
1975-03-02,8.3596
1975-03-03,13.1109
1975-03-04,12.9729
1975-03-05,12.6315
1975-03-06,14.413
1975-03-07,5.7714
1975-03-08,3.9318
1975-03-09,1.4511
1975-03-10,0.5003
1975-03-11,1.2862
1975-03-12,2.4197
1975-03-13,2.5046
1975-03-14,1.6434
1975-03-15,0.0307
1975-03-16,0.0016
1975-03-17,0.0267
1975-03-18,0.0835
1975-03-19,0.506
1975-03-20,2.7359
1975-03-21,5.4608
1975-03-22,2.9921
1975-03-23,0.9974
1975-03-24,1.0651
1975-03-25,0.4359
1975-03-26,0.2532
1975-03-27,1.1969
1975-03-28,1.9109
1975-03-29,1.0829
1975-03-30,1.3952
1975-03-31,2.7628
1975-04-01,10.153
1975-04-02,10.866
1975-04-03,7.2123
1975-04-04,8.3496
1975-04-05,6.5539
1975-04-06,9.3253
1975-04-07,7.9301
1975-04-08,9.5705
1975-04-09,5.776
1975-04-10,7.0212
1975-04-11,10.4961
1975-04-12,11.8965
1975-04-13,9.8683
1975-04-14,16.5189
1975-04-15,7.6735
1975-04-16,4.1113
1975-04-17,2.209
1975-04-18,0.9399
1975-04-19,0.5764
1975-04-20,0.8886
1975-04-21,1.5077
1975-04-22,2.1216
1975-04-23,2.3791
1975-04-24,3.3005
1975-04-25,2.3034
1975-04-26,8.8361
1975-04-27,9.9056
1975-04-28,18.1771
1975-04-29,5.569
1975-04-30,0.9345
1975-05-01,2.1617
1975-05-02,1.448
1975-05-03,1.8736
1975-05-04,0.2018
1975-05-05,1.2932
1975-05-06,2.9539
1975-05-07,7.5726
1975-05-08,1.1813
1975-05-09,0.6542
1975-05-10,0.5269
1975-05-11,0.4825
1975-05-12,0.4787
1975-05-13,0.7527
1975-05-14,1.3434
1975-05-15,0.8676
1975-05-16,1.3565
1975-05-17,1.9412
1975-05-18,1.3977
1975-05-19,2.0404
1975-05-20,1.0675
1975-05-21,0.7477
1975-05-22,1.3468
1975-05-23,2.2071
1975-05-24,0.3581
1975-05-25,0.1806
1975-05-26,1.3889
1975-05-27,2.7185
1975-05-28,16.8662
1975-05-29,6.3487
1975-05-30,2.6272
1975-05-31,0.4982
1975-06-01,0.5865
1975-06-02,0.8431
1975-06-03,0.6153
1975-06-04,1.4777
1975-06-05,1.3441
1975-06-06,2.1822
1975-06-07,1.7152
1975-06-08,1.7014
1975-06-09,1.8835
1975-06-10,1.7531
1975-06-11,0.455
1975-06-12,1.0974
1975-06-13,2.7104
1975-06-14,2.815
1975-06-15,4.0676
1975-06-16,3.9601
1975-06-17,4.9434
1975-06-18,3.3514
1975-06-19,1.6406
1975-06-20,1.0018
1975-06-21,1.7158
1975-06-22,2.9606
1975-06-23,1.2906
1975-06-24,1.0816
1975-06-25,1.274
1975-06-26,1.9484
1975-06-27,1.0962
1975-06-28,0.3626
1975-06-29,0.4701
1975-06-30,0.7344
1975-07-01,0.8627
1975-07-02,0.8275
1975-07-03,1.0706
1975-07-04,0.837
1975-07-05,0.236
1975-07-06,0.0217
1975-07-07,0.1279
1975-07-08,1.393
1975-07-09,0.8033
1975-07-10,0.9458
1975-07-11,4.2183
1975-07-12,3.5805
1975-07-13,1.8617
1975-07-14,0.2916
1975-07-15,0.081
1975-07-16,3.8917
1975-07-17,1.4379
1975-07-18,0.0949
1975-07-19,1.1482
1975-07-20,1.0053
1975-07-21,0.87
1975-07-22,3.6209
1975-07-23,5.1033
1975-07-24,9.2885
1975-07-25,4.0331
1975-07-26,5.568
1975-07-27,0.8747
1975-07-28,1.4798
1975-07-29,0.4555
1975-07-30,1.3275
1975-07-31,1.8996
1975-08-01,2.2503
1975-08-02,1.1879
1975-08-03,1.54
1975-08-04,0.3054
1975-08-05,1.5643
1975-08-06,2.1889
1975-08-07,2.8722
1975-08-08,0.9276
1975-08-09,0.3756
1975-08-10,1.6969
1975-08-11,1.6461
1975-08-12,3.3719
1975-08-13,5.3581
1975-08-14,2.2116
1975-08-15,0.5735
1975-08-16,1.0335
1975-08-17,4.0379
1975-08-18,6.3544
1975-08-19,0.178
1975-08-20,0.1228
1975-08-21,0.274
1975-08-22,0.3847
1975-08-23,0.2645
1975-08-24,2.1506
1975-08-25,1.7058
1975-08-26,0.5068
1975-08-27,2.7937
1975-08-28,0.8122
1975-08-29,0.5506
1975-08-30,3.2671
1975-08-31,3.9369
1975-09-01,0.6344
1975-09-02,0.6745
1975-09-03,0.3805
1975-09-04,0.5829
1975-09-05,0.5468
1975-09-06,0.3554
1975-09-07,0.1019
1975-09-08,0.0172
1975-09-09,0.6519
1975-09-10,0.8077
1975-09-11,0.8887
1975-09-12,1.7984
1975-09-13,3.7382
1975-09-14,2.8306
1975-09-15,4.6625
1975-09-16,1.6255
1975-09-17,0.8114
1975-09-18,3.1178
1975-09-19,2.816
1975-09-20,5.3084
1975-09-21,3.1016
1975-09-22,7.7091
1975-09-23,2.7447
1975-09-24,2.501
1975-09-25,2.0787
1975-09-26,1.1696
1975-09-27,1.1107
1975-09-28,2.1038
1975-09-29,0.4703
1975-09-30,1.4071
1975-10-01,1.1766
1975-10-02,0.5795
1975-10-03,2.3154
1975-10-04,0.7256
1975-10-05,0.9539
1975-10-06,1.4066
1975-10-07,1.4191
1975-10-08,1.8366
1975-10-09,4.2644
1975-10-10,1.4083
1975-10-11,0.4068
1975-10-12,0.0441
1975-10-13,0.2532
1975-10-14,0.6299
1975-10-15,0.9539
1975-10-16,0.585
1975-10-17,1.0288
1975-10-18,1.8628
1975-10-19,1.4179
1975-10-20,0.2924
1975-10-21,6.2077
1975-10-22,4.8629
1975-10-23,3.2365
1975-10-24,0.9813
1975-10-25,0.1188
1975-10-26,0.0767
1975-10-27,2.3093
1975-10-28,1.3112
1975-10-29,2.0015
1975-10-30,3.9628
1975-10-31,1.8898
1975-11-01,4.4423
1975-11-02,3.1202
1975-11-03,1.1922
1975-11-04,2.1243
1975-11-05,3.4029
1975-11-06,4.1184
1975-11-07,0.8513
1975-11-08,0.6295
1975-11-09,2.5139
1975-11-10,2.3907
1975-11-11,2.6362
1975-11-12,4.2062
1975-11-13,9.1781
1975-11-14,7.3782
1975-11-15,14.2104
1975-11-16,5.8919
1975-11-17,8.8357
1975-11-18,7.8333
1975-11-19,6.9101
1975-11-20,13.9556
1975-11-21,14.2437
1975-11-22,7.0809
1975-11-23,11.3761
1975-11-24,12.4292
1975-11-25,9.7792
1975-11-26,2.6072
1975-11-27,4.4389
1975-11-28,7.3706
1975-11-29,7.7117
1975-11-30,2.1152
1975-12-01,3.0735
1975-12-02,0.6484
1975-12-03,0.0617
1975-12-04,0.2135
1975-12-05,1.525
1975-12-06,12.7022
1975-12-07,11.1701
1975-12-08,10.0589
1975-12-09,1.0594
1975-12-10,0.3774
1975-12-11,1.9384
1975-12-12,5.3626
1975-12-13,2.4434
1975-12-14,1.7548
1975-12-15,7.8943
1975-12-16,6.1088
1975-12-17,11.2424
1975-12-18,10.2469
1975-12-19,11.6166
1975-12-20,0.3031
1975-12-21,0.0468
1975-12-22,0.9796
1975-12-23,7.2533
1975-12-24,4.7596
1975-12-25,1.7933
1975-12-26,1.1726
1975-12-27,0.9038
1975-12-28,1.2152
1975-12-29,1.0709
1975-12-30,4.8093
1975-12-31,0.5
1976-01-01,0.1006
1976-01-02,0.3138
1976-01-03,0.3257
1976-01-04,0.3278
1976-01-05,0.0793
1976-01-06,0.1751
1976-01-07,0.6603
1976-01-08,0.7681
1976-01-09,10.7187
1976-01-10,1.8729
1976-01-11,4.6629
1976-01-12,1.6213
1976-01-13,0.3056
1976-01-14,0.3235
1976-01-15,0.1849
1976-01-16,0.0108
1976-01-17,0.4392
1976-01-18,1.1519
1976-01-19,0.6496
1976-01-20,1.0749
1976-01-21,0.0549
1976-01-22,0.1694
1976-01-23,0.2373
1976-01-24,0.1538
1976-01-25,0.1534
1976-01-26,0.3699
1976-01-27,0.3133
1976-01-28,0.2886
1976-01-29,10.3731
1976-01-30,4.9719
1976-01-31,3.5274
1976-02-01,0.0443
1976-02-02,0.2788
1976-02-03,0.2098
1976-02-04,0.0267
1976-02-05,0.0328
1976-02-06,0.1192
1976-02-07,0.0747
1976-02-08,0.0214
1976-02-09,0.0553
1976-02-10,0.9994
1976-02-11,0.7629
1976-02-12,0.47
1976-02-13,0.3638
1976-02-14,2.0983
1976-02-15,0.8695
1976-02-16,2.8693
1976-02-17,0.7937
1976-02-18,0.0706
1976-02-19,0.3661
1976-02-20,0.2793
1976-02-21,0.8647
1976-02-22,0.9762
1976-02-23,0.1396
1976-02-24,0.2666
1976-02-25,0.7009
1976-02-26,0.6786
1976-02-27,0.0556
1976-02-28,0.0033
1976-02-29,0.0308
1976-03-01,0.152
1976-03-02,0.0001
1976-03-03,0.0051
1976-03-04,0.0276
1976-03-05,0.1024
1976-03-06,0.0766
1976-03-07,0.0137
1976-03-08,0.4278
1976-03-09,0.7422
1976-03-10,0.1347
1976-03-11,0.8465
1976-03-12,0.918
1976-03-13,0.0035
1976-03-14,0.0017
1976-03-15,0.2867
1976-03-16,0.7935
1976-03-17,0.0618
1976-03-18,0.2475
1976-03-19,2.2236
1976-03-20,1.3166
1976-03-21,0.3462
1976-03-22,1.5742
1976-03-23,5.1541
1976-03-24,0.8756
1976-03-25,1.3599
1976-03-26,3.353
1976-03-27,7.4056
1976-03-28,5.2133
1976-03-29,9.4503
1976-03-30,9.062
1976-03-31,6.2445
1976-04-01,12.0038
1976-04-02,3.1794
1976-04-03,0.4997
1976-04-04,1.5293
1976-04-05,0.9811
1976-04-06,4.406
1976-04-07,3.2091
1976-04-08,1.3825
1976-04-09,6.6456
1976-04-10,2.5448
1976-04-11,1.2895
1976-04-12,1.314
1976-04-13,1.4618
1976-04-14,1.9322
1976-04-15,2.7472
1976-04-16,5.3169
1976-04-17,2.6303
1976-04-18,1.6175
1976-04-19,1.3654
1976-04-20,0.9723
1976-04-21,1.4601
1976-04-22,5.3366
1976-04-23,4.8833
1976-04-24,8.1606
1976-04-25,7.2178
1976-04-26,7.2359
1976-04-27,2.6276
1976-04-28,3.4623
1976-04-29,1.9779
1976-04-30,0.0849
1976-05-01,0.0237
1976-05-02,0.3103
1976-05-03,0.5808
1976-05-04,1.0346
1976-05-05,0.4221
1976-05-06,0.122
1976-05-07,0.0033
1976-05-08,0.003
1976-05-09,0.0529
1976-05-10,0.494
1976-05-11,2.567
1976-05-12,2.947
1976-05-13,4.3941
1976-05-14,1.9195
1976-05-15,0.1173
1976-05-16,0.078
1976-05-17,0.0022
1976-05-18,0.2877
1976-05-19,0.041
1976-05-20,1.0311
1976-05-21,1.9687
1976-05-22,1.1997
1976-05-23,1.389
1976-05-24,1.6583
1976-05-25,0.7219
1976-05-26,1.2837
1976-05-27,2.9792
1976-05-28,2.9841
1976-05-29,1.8546
1976-05-30,1.8848
1976-05-31,0.6117